Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit;Land
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2634.00;EUR/MW;2634.00;EUR;15.68;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2649.00;EUR/MW;2649.00;EUR;15.77;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2664.00;EUR/MW;2664.00;EUR;15.86;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2680.00;EUR/MW;2680.00;EUR;15.95;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2695.00;EUR/MW;2695.00;EUR;16.04;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2710.00;EUR/MW;2710.00;EUR;16.13;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2725.00;EUR/MW;2725.00;EUR;16.22;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2740.00;EUR/MW;2740.00;EUR;16.31;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2755.00;EUR/MW;2755.00;EUR;16.40;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2770.00;EUR/MW;2770.00;EUR;16.49;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2785.00;EUR/MW;2785.00;EUR;16.58;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2801.00;EUR/MW;2801.00;EUR;16.67;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2816.00;EUR/MW;2816.00;EUR;16.76;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2831.00;EUR/MW;2831.00;EUR;16.85;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2846.00;EUR/MW;2846.00;EUR;16.94;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2861.00;EUR/MW;2861.00;EUR;17.03;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2876.00;EUR/MW;2876.00;EUR;17.12;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2891.00;EUR/MW;2891.00;EUR;17.21;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2906.00;EUR/MW;2906.00;EUR;17.30;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2922.00;EUR/MW;2922.00;EUR;17.39;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2937.00;EUR/MW;2937.00;EUR;17.48;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2952.00;EUR/MW;2952.00;EUR;17.57;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2967.00;EUR/MW;2967.00;EUR;17.66;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2982.00;EUR/MW;2982.00;EUR;17.75;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;2997.00;EUR/MW;2997.00;EUR;17.84;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;3012.00;EUR/MW;3012.00;EUR;17.93;EUR/MWh*;CH
PRL_17_KW01;Primary control Auction;1;MW;1;MW;3027.00;EUR/MW;3027.00;EUR;18.02;EUR/MWh*;CH
